time,percentage,average_percentage,minimum,maximum
n/a,n/a,43.092150170648466,10.0,93.0
0.0,93.0,,,
0.5013713836669922,93.0,,,
1.0019280910491943,93.0,,,
1.5025160312652588,93.0,,,
2.003037929534912,93.0,,,
2.5037825107574463,93.0,,,
3.004472494125366,93.0,,,
3.505108594894409,93.0,,,
4.005769729614258,93.0,,,
4.506636142730713,93.0,,,
5.007284164428711,93.0,,,
5.50786828994751,92.0,,,
6.008324146270752,92.0,,,
6.508867263793945,92.0,,,
7.010284185409546,92.0,,,
7.510941982269287,92.0,,,
8.011637926101685,92.0,,,
8.512246131896973,92.0,,,
9.012674570083618,92.0,,,
9.514403820037842,92.0,,,
10.015275955200195,92.0,,,
10.516122817993164,92.0,,,
11.016835689544678,92.0,,,
11.518065214157104,92.0,,,
12.018332719802856,92.0,,,
12.519392490386963,91.0,,,
13.019998550415039,91.0,,,
13.520699501037598,91.0,,,
14.021413803100586,91.0,,,
14.522139310836792,90.0,,,
15.022827625274658,90.0,,,
15.523388624191284,90.0,,,
16.024088859558105,90.0,,,
16.52558732032776,89.0,,,
17.026170253753662,89.0,,,
17.52669644355774,89.0,,,
18.027672052383423,89.0,,,
18.52823758125305,88.0,,,
19.02965807914734,88.0,,,
19.530495643615723,88.0,,,
20.0311119556427,88.0,,,
20.53168559074402,87.0,,,
21.032286167144775,87.0,,,
21.532772302627563,87.0,,,
22.03545308113098,87.0,,,
22.535935401916504,86.0,,,
23.036383152008057,86.0,,,
23.53691840171814,86.0,,,
24.037421226501465,86.0,,,
24.53808617591858,85.0,,,
25.038766384124756,85.0,,,
25.539308309555054,85.0,,,
26.0399010181427,85.0,,,
26.540645122528076,84.0,,,
27.041165351867676,84.0,,,
27.54160761833191,84.0,,,
28.042195558547974,84.0,,,
28.542844533920288,83.0,,,
29.043527364730835,83.0,,,
29.54426860809326,83.0,,,
30.044965028762817,83.0,,,
30.54557991027832,82.0,,,
31.046154975891113,82.0,,,
31.54673480987549,82.0,,,
32.047303438186646,82.0,,,
32.54823088645935,81.0,,,
33.048434019088745,81.0,,,
33.54902267456055,81.0,,,
34.04975128173828,81.0,,,
34.55041551589966,80.0,,,
35.051026821136475,80.0,,,
35.55331468582153,80.0,,,
36.0546498298645,80.0,,,
36.55537295341492,79.0,,,
37.05606412887573,79.0,,,
37.5566520690918,79.0,,,
38.057201623916626,79.0,,,
38.55819821357727,78.0,,,
39.05890345573425,78.0,,,
39.55944037437439,78.0,,,
40.06012415885925,78.0,,,
40.5606255531311,77.0,,,
41.06113052368164,77.0,,,
41.561710357666016,77.0,,,
42.06311869621277,77.0,,,
42.56381154060364,76.0,,,
43.06462097167969,76.0,,,
43.565245389938354,76.0,,,
44.06590390205383,76.0,,,
44.566770792007446,75.0,,,
45.06744384765625,75.0,,,
45.56819200515747,75.0,,,
46.06891226768494,75.0,,,
46.56965923309326,74.0,,,
47.07035994529724,74.0,,,
47.57107090950012,74.0,,,
48.07169508934021,74.0,,,
48.57221984863281,73.0,,,
49.07290172576904,73.0,,,
49.573474168777466,73.0,,,
50.07419753074646,73.0,,,
50.57500076293945,72.0,,,
51.075519323349,72.0,,,
51.57620453834534,72.0,,,
52.07722735404968,72.0,,,
52.57772874832153,71.0,,,
53.07859778404236,71.0,,,
53.57935380935669,71.0,,,
54.07987856864929,71.0,,,
54.58059215545654,70.0,,,
55.08119821548462,70.0,,,
55.58212900161743,70.0,,,
56.08266544342041,70.0,,,
56.58338785171509,69.0,,,
57.083985805511475,69.0,,,
57.58479714393616,69.0,,,
58.08551526069641,69.0,,,
58.586113691329956,68.0,,,
59.0866801738739,68.0,,,
59.58726716041565,68.0,,,
60.088653802871704,68.0,,,
60.59063673019409,67.0,,,
61.09256935119629,67.0,,,
61.5934579372406,67.0,,,
62.094199419021606,67.0,,,
62.594836711883545,66.0,,,
63.09558463096619,66.0,,,
63.5963020324707,66.0,,,
64.09701108932495,66.0,,,
64.59771919250488,65.0,,,
65.09852242469788,65.0,,,
65.59919357299805,65.0,,,
66.09985756874084,65.0,,,
66.6005232334137,64.0,,,
67.10140991210938,64.0,,,
67.60362339019775,64.0,,,
68.1040735244751,64.0,,,
68.60493922233582,63.0,,,
69.10522127151489,63.0,,,
69.60602140426636,63.0,,,
70.10681343078613,63.0,,,
70.60746216773987,62.0,,,
71.10801291465759,62.0,,,
71.60856008529663,62.0,,,
72.10917377471924,62.0,,,
72.60966300964355,61.0,,,
73.11028456687927,61.0,,,
73.61085271835327,61.0,,,
74.11161541938782,61.0,,,
74.61252474784851,60.0,,,
75.11312913894653,60.0,,,
75.61381244659424,60.0,,,
76.11462664604187,60.0,,,
76.61544895172119,59.0,,,
77.11621499061584,59.0,,,
77.61685037612915,59.0,,,
78.11752438545227,59.0,,,
78.61824035644531,58.0,,,
79.11889958381653,58.0,,,
79.61954426765442,58.0,,,
80.12012052536011,58.0,,,
80.62088394165039,57.0,,,
81.12158250808716,57.0,,,
81.62219619750977,57.0,,,
82.12417149543762,57.0,,,
82.62487626075745,56.0,,,
83.12583184242249,56.0,,,
83.626549243927,56.0,,,
84.12722897529602,56.0,,,
84.6283323764801,55.0,,,
85.12884998321533,55.0,,,
85.62995481491089,55.0,,,
86.13017773628235,55.0,,,
86.63079309463501,54.0,,,
87.13151574134827,54.0,,,
87.63231301307678,54.0,,,
88.13280200958252,54.0,,,
88.63339495658875,53.0,,,
89.13394904136658,53.0,,,
89.63469409942627,53.0,,,
90.13540363311768,53.0,,,
90.63593935966492,53.0,,,
91.13839030265808,53.0,,,
91.63904213905334,52.0,,,
92.13967037200928,52.0,,,
92.64035367965698,52.0,,,
93.14084076881409,52.0,,,
93.64144539833069,52.0,,,
94.1420373916626,52.0,,,
94.64281272888184,52.0,,,
95.14367413520813,52.0,,,
95.64441108703613,52.0,,,
96.1449568271637,52.0,,,
96.64555978775024,52.0,,,
97.14599847793579,52.0,,,
97.64792060852051,52.0,,,
98.1485481262207,52.0,,,
98.64932918548584,52.0,,,
99.14996099472046,52.0,,,
99.65047669410706,52.0,,,
100.1512086391449,52.0,,,
100.65191793441772,52.0,,,
101.15243196487427,52.0,,,
101.65304946899414,51.0,,,
102.15363836288452,51.0,,,
102.65417957305908,51.0,,,
103.15513563156128,51.0,,,
103.65631818771362,51.0,,,
104.15685749053955,51.0,,,
104.657461643219,51.0,,,
105.15813398361206,51.0,,,
105.65880966186523,51.0,,,
106.15934181213379,51.0,,,
106.65983533859253,51.0,,,
107.16029858589172,51.0,,,
107.66082453727722,50.0,,,
108.16125249862671,50.0,,,
108.66182804107666,50.0,,,
109.16241192817688,50.0,,,
109.6630048751831,50.0,,,
110.16366386413574,50.0,,,
110.66454195976257,50.0,,,
111.16589522361755,50.0,,,
111.66647839546204,50.0,,,
112.16754961013794,50.0,,,
112.6678581237793,50.0,,,
113.16860008239746,50.0,,,
113.66919255256653,49.0,,,
114.16975259780884,49.0,,,
114.67031216621399,49.0,,,
115.17081499099731,49.0,,,
115.67163109779358,49.0,,,
116.17229127883911,49.0,,,
116.6727466583252,49.0,,,
117.17483687400818,49.0,,,
117.67720913887024,49.0,,,
118.17823100090027,49.0,,,
118.67852210998535,49.0,,,
119.17921924591064,49.0,,,
119.67980766296387,48.0,,,
120.1804416179657,48.0,,,
120.6810245513916,48.0,,,
121.18231964111328,48.0,,,
121.68240857124329,48.0,,,
